POI_NM,SCTN_LT,CENTER_MAP_Y_CRDNT,CENTER_MAP_X_CRDNT
송라리,3.8,37.2674,126.90556
여주터널,3,37.272634,127.73212
양지고가차도,0.3,37.234699,127.297432
녹박재고개,1,37.066771,127.376507
좌전고개,1.5,37.226781,127.304483
대지고개,3,37.330239,127.153966
은고개,1.2,37.470212,127.249701
천둥고개,1,37.602701,126.768309
해안도로,7,36.94141,126.88186
중미산,11,37.57147,127.46312
송촌대교,2.2,37.75816,126.68807
항사2교-덕현교차로,4,37.77576,127.37339
국수고개,1.5,37.507827,127.387597
일동교차로-수입교차로,4,37.952878,127.304357
답곡천교-설마천교,4,37.963597,126.8696
솔고개,3,37.685773,127.466253
도평고개,1.5,38.096022,127.394068
빗고개,2.5,37.789915,127.463468
아리랑고개,1.5,37.856912,127.287253
벼랑고개,2,37.481425,127.548965
여우고개,1,37.868125,126.789248
단월고개,2,37.535506,127.677428
울대고개,1,37.726778,126.988225
도마치고개,5,38.037834,127.445241
갈치고개,2,37.760953,127.51153
무럭고개,5,37.931332,127.187094
,8.5,38.00269,128.11794
,4.8,37.41536,127.97148
매지터널구간,5.5,37.25936,127.90125
황재,3.6,37.506184,128.130815
광치령,3.2,38.144939,128.087202
고사리재,3.5,37.840381,128.254756
상뱃재,0.3,37.744431,128.334945
"송현사거리, 밀양고개",3.7,38.062385,128.64396
용촌육교,0.13,38.239586,128.57117
"월정교, 가우교, 쉴터골천교",4.8,37.651669,128.565244
"탱크저지선, 가진교차로",0.8,38.369255,128.501869
송죽교,0.12,38.406373,128.468073
신평교,0.2,38.327248,128.376266
왕산터널,0.5,37.696682,128.829742
"장평1교, 갈정교",1.1,37.591483,128.406926
무이교,0.25,37.595561,128.306803
진고개갈림길,3.6,37.76939,128.61095
남설악터널,1.8,38.06143,128.55051
"낙산고개, 정암고개",1.3,38.128883,128.62211
광막골,2,37.708389,128.449653
제설작업대기소,0.8,37.584193,128.860741
임원고개,0.6,37.252398,129.333931
"정동진교차로, 동해1터널",2.6,37.691871,128.994455
두문동재,5.2,37.201377,128.87983
마차재,4.2,37.270505,128.671703
,6.5,37.533597,128.944724
,6.6,37.193271,128.5634
문재,2.7,37.427817,128.275294
마차1터널,4.2,37.283588,129.069187
멧둔재,6.4,37.33943,128.493918
비행기재,5.2,37.354458,128.575278
수라리재,7.4,37.12407,128.83747
재산재,4.4,37.52652,128.45293
원동재,4.7,37.25176,128.43083
임계-하장,7.4,37.349821,128.941316
너그니재,6.8,37.499014,128.812177
수피령,1.9,38.199113,127.520392
뱃재,2,37.742675,128.301997
느랏재,3.9,37.903181,127.81997
구룡령,1.2,37.87954,128.51432
한치재,2.6,37.528277,128.049707
쇄재,1.1,37.336388,128.71301
장전터널,1.3,37.492737,128.575031
옥녀1교,2.2,38.119572,128.331959
진부2교,0.8,38.275399,128.352722
용대터널~한계터널,3.7,38.16653,128.26181
,1.6,37.159601,129.347181
,3.1,37.284736,129.299106
,0.7,38.251384,128.562857
,0.4,38.3137,128.532949
,0.5,38.377798,128.47834
